In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
Praise be to GOD, Lord of the universe.|[Quran 1:2]
Most Gracious, Most Merciful.|[Quran 1:3]
Master of the Day of Judgment.|[Quran 1:4]
You alone we worship; You alone we ask for help.|[Quran 1:5]
Guide us in the right path;|[Quran 1:6]
the path of those whom You blessed; not of those who have deserved wrath, nor of the strayers.|[Quran 1:7]
A.L.M. |[Sura 2:1]
This scripture is infallible; a beacon for the righteous; |[Sura 2:2]
who believe in the unseen, observe the Contact Prayers (Salat), and from our provisions to them, they give to charity. |[Sura 2:3]
And they believe in what was revealed to you, and in what was revealed before you, and with regard to the Hereafter, they are absolutely certain. |[Sura 2:4]
These are guided by their Lord; these are the winners. |[Sura 2:5]
As for those who disbelieve, it is the same for them; whether you warn them, or not warn them, they cannot believe. |[Sura 2:6]
GOD seals their minds and their hearing, and their  eyes are veiled. They have incurred severe retribution. |[Sura 2:7]
Then there are those who say, "We believe in GOD  and the Last Day," while they are not believers. |[Sura 2:8]
In trying to deceive GOD and those who believe, they only deceive themselves without perceiving. |[Sura 2:9]
In their minds there is a disease. Consequently, GOD augments their disease. They have incurred a painful retribution for their lying. |[Sura 2:10]
When they are told, "Do not commit evil," they say, "But we are righteous!" |[Sura 2:11]
In fact, they are evildoers, but they do not perceive. |[Sura 2:12]
When they are told, "Believe like the people who believed," they say, "Shall we believe like the fools who believed?" In fact, it is they who are fools, but they do not know. |[Sura 2:13]
When they meet the believers, they say, "We believe," but when alone with their devils, they say, "We are with you; we were only mocking." |[Sura 2:14]
GOD mocks them, and leads them on in their transgressions, blundering. |[Sura 2:15]
It is they who bought the straying, at the expense of guidance. Such trade never prospers, nor do they receive any guidance. |[Sura 2:16]
Their example is like those who start a fire,  then, as it begins to shed light around them, GOD takes away their light, leaving them in darkness,  unable to see. |[Sura 2:17]
Deaf, dumb, and blind; they fail to return. |[Sura 2:18]
Another example: a rainstorm from the sky in which there is darkness, thunder, and lightning. They put their fingers in their ears, to  evade death. GOD is fully aware of the disbelievers. |[Sura 2:19]
The lightning almost snatches away their eyesight. When it lights for  them, they move forward, and when  it turns dark, they stand still.  If GOD wills, He can take away their hearing and their eyesight.  GOD is Omnipotent. |[Sura 2:20]
O people, worship only your Lord- the One who created you and those before you-that you may be saved. |[Sura 2:21]
The One who made the earth habitable for you, and the sky a structure. He sends down from the sky water, to produce all kinds of fruits for your sustenance. You shall not set up idols to rival GOD, now that you know. |[Sura 2:22]
If you have any doubt regarding what we revealed to our servant, then produce one sura like these, and call upon your own witnesses against GOD, if you are truthful. |[Sura 2:23]
If you cannot do this-and you can never do this-then beware of the Hellfire, whose fuel is people and rocks;  it awaits the disbelievers. |[Sura 2:24]
Give good news to those who believe and lead a righteous life that they will have gardens with flowing streams. When provided with a provision of fruits therein, they will say, "This is what was provided for us previously." Thus, they are given allegorical descriptions. They will have pure spouses therein, and they abide therein forever. |[Sura 2:25]
GOD does not shy away from citing any kind of allegory, from the  tiny mosquito and greater. As for those who believe, they know that  it is the truth from their Lord. As for those who disbelieve, they say, "What did GOD mean by such an allegory?" He misleads many thereby, and guides many thereby. But He never misleads thereby except the wicked, |[Sura 2:26]
who violate GOD's covenant after pledging to uphold it, sever what GOD has commanded to be joined, and commit evil. These are the losers. |[Sura 2:27]
How can you disbelieve in GOD when you were dead and He gave you life, then He puts you to death, then He brings you back to life, then to Him you ultimately return? |[Sura 2:28]
He is the One who created for you everything on earth, then turned to the sky and perfected seven universes therein, and He is fully aware of all things. |[Sura 2:29]
Recall that your Lord said to the angels, "I am placing a  representative(a temporary god) on Earth." They said,  "Will You place therein one who will spread evil therein  and shed blood, while we sing Your praises,  glorify You, and uphold Your absolute authority?" He said,  "I know what you do not know." |[Sura 2:30]
He taught Adam all the names then presented them to the angels,  saying, "Give me the names of these, if you are right." |[Sura 2:31]
They said, "Be You glorified, we have no knowledge, except that which You have taught us. You are the Omniscient, Most Wise." |[Sura 2:32]
He said, "O Adam, tell them their names." When he told them their names, He said, "Did I not tell you that I know the secrets of the heavens and the earth? I know what you declare, and what you conceal." |[Sura 2:33]
When we said to the angels, "Fall prostrate before Adam," they fell prostrate, except Satan; he refused, was too arrogant, and a disbeliever. |[Sura 2:34]
We said, "O Adam, live with your wife in Paradise, and eat therefrom generously, as you please, but do not approach this tree, lest you sin." |[Sura 2:35]
But the devil duped them, and caused their eviction therefrom.  We said, "Go down as enemies of one another. On Earth shall be your habitation and provision for awhile." |[Sura 2:36]
Then, Adam received from his Lord words, whereby He redeemed him. He is the Redeemer, Most Merciful. |[Sura 2:37]
We said, "Go down therefrom, all of you. When guidance comes to you from Me, those who follow My guidance will have no fear, nor will they grieve. |[Sura 2:38]
"As for those who disbelieve and reject our revelations, they will be dwellers of Hell, wherein they abide forever." |[Sura 2:39]
O Children of Israel, remember My favor, which I bestowed upon you, and fulfill your part of the covenant, that I fulfill My part of the covenant, and reverence Me. |[Sura 2:40]
You shall believe in what I have revealed herein, confirming what you have; do not be the first to reject it. Do not trade away My revelations for a cheap price, and observe Me. |[Sura 2:41]
Do not confound the truth with falsehood, nor shall you conceal the truth, knowingly. |[Sura 2:42]
You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat), and bow down with those who bow down. |[Sura 2:43]
Do you exhort the people to be righteous, while forgetting yourselves, though you read the scripture? Do you not understand? |[Sura 2:44]
You shall seek help through steadfastness and the Contact Prayers (Salat). This is difficult indeed, but not so for the reverent, |[Sura 2:45]
who believe that they will meet their Lord; that to Him they ultimately return. |[Sura 2:46]
O Children of Israel, remember My favor which I bestowed upon  you, and that I blessed you more than any other people. |[Sura 2:47]
Beware of the day when no soul can avail another soul, no intercession  will be accepted, no ransom can be paid, nor can anyone be helped.|[Sura 2:48]
Recall that we saved you from Pharaoh's people who inflicted upon  you the worst persecution, slaying your sons and sparing your daughters. That was an exacting test from your Lord. |[Sura 2:49]
Recall that we parted the sea for you; we saved you and drowned Pharaoh's people before your eyes. |[Sura 2:50]
Yet, when we summoned Moses for forty nights, you worshiped the calf in his absence, and turned wicked. |[Sura 2:51]
Still, we pardoned you thereafter that you may be appreciative. |[Sura 2:52]
Recall that we gave Moses scripture and the statute book, that you may be guided. |[Sura 2:53]
Recall that Moses said to his people, "O my people, you have wronged your souls by worshiping the calf. You must repent to your Creator. You shall kill your egos. This is better for you in the sight of your Creator." He did redeem you. He is the Redeemer, Most Merciful. |[Sura 2:54]
Recall that you said, "O Moses, we will not believe unless we see GOD, physically." Consequently, the lightning struck you, as you looked. |[Sura 2:55]
We then revived you, after you had died, that you may be appreciative. |[Sura 2:56]
We shaded you with clouds (in Sinai), and sent down to you manna and quails: "Eat from the good things we provided for you." They did not hurt us (by rebelling); they only hurt their own souls. |[Sura 2:57]
Recall that we said, "Enter this town, where you will find as many provisions as you like. Just enter the gate humbly, and treat the people nicely. We will then forgive your sins, and increase the reward  for the pious." |[Sura 2:58]
But the wicked among them carried out commands other than the commands given to them. Consequently, we sent down upon the transgressors condemnation from the sky, due to their wickedness. |[Sura 2:59]
